file,size,q,progressive
10493.jpg,13494,73,1
10494.jpg,151704,72,0
10495.jpg,98505,90,1
10496.jpg,4278,90,0
10497.jpg,48885,94,0
10498.jpg,901503,100,0
10499.jpg,5594,82,0
105.jpg,132375,99,0
1050.jpg,90891,75,1
10500.jpg,8748,73,0
10501.jpg,22498,95,0
10502.jpg,29330,90,1
10503.jpg,10931,90,0
10504.jpg,2086,86,0
10505.jpg,2640,82,0
10506.jpg,11418,82,0
10507.jpg,66370,99,1
10508.jpg,5569,80,1
10509.jpg,35431,86,1
1051.jpg,9777,69,1
10510.jpg,201060,93,0
10511.jpg,9086,85,0
10512.jpg,48417,85,0
10513.jpg,5356,75,0
10514.jpg,2089,75,0
10515.jpg,100321,99,0
10516.jpg,100062,90,0
10517.jpg,26003,90,0
10518.jpg,264762,30,0
10519.jpg,177300,100,0
1052.jpg,28436,86,0
10520.jpg,22567,90,1
10521.jpg,26942,82,0
10522.jpg,5762,90,0
10523.jpg,157786,88,0
10524.jpg,32486,92,0
10525.jpg,21299,74,1
10526.jpg,9047,85,0
10527.jpg,6215,86,0
10528.jpg,2567,85,1
10529.jpg,32610,92,1
1053.jpg,10254,80,0
10530.jpg,33746,95,0
10531.jpg,56419,92,1
10532.jpg,79060,86,0
10533.jpg,3143,90,0
10534.jpg,131772,88,1
10535.jpg,110096,82,0
10536.jpg,201163,68,0
10537.jpg,9145,95,0
10538.jpg,196925,99,1
10539.jpg,532992,92,1
1054.jpg,40599,82,0
10540.jpg,41829,82,0
10541.jpg,6462,82,0
10542.jpg,20335,82,0
10543.jpg,12265,100,0
10544.jpg,37114,63,1
10545.jpg,19944,100,1
10546.jpg,119160,97,1
10547.jpg,7840,79,0
10548.jpg,12863,92,0
10549.jpg,111228,100,0
1055.jpg,1441700,96,0
10550.jpg,4069,99,0
10551.jpg,32201,73,1
10552.jpg,1.01509M,99,0
10553.jpg,300971,90,0
10554.jpg,49260,91,1
10555.jpg,20354,50,1
10556.jpg,90851,90,0
10557.jpg,14976,89,0
10558.jpg,31571,82,0
10559.jpg,88135,55,1
1056.jpg,47958,79,1
10560.jpg,6680,80,0
10561.jpg,52985,82,0
10562.jpg,16744,92,0
10563.jpg,120602,94,0
10564.jpg,92270,99,0
10565.jpg,36635,90,0
10566.jpg,36786,63,1
10567.jpg,156589,82,1
10568.jpg,21036,83,1
10569.jpg,32135,92,0
1057.jpg,1715,95,0
10570.jpg,344,99,0
10571.jpg,53941,89,0
10572.jpg,3361,80,0
10573.jpg,27673,82,0
10574.jpg,329397,85,0
10575.jpg,116878,100,0
10576.jpg,4368,84,0
10577.jpg,29247,63,1
10578.jpg,174997,79,0
10579.jpg,235520,76,0
1058.jpg,19938,70,0
